"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"WALCHANNAG","61.60","79047.00","331899.32","-1.52","-2.84","24.57","19.26","13.13","62.06","62.20","63.23","62.26","62.86","61.42","58.41","59.65","56.74","58.27","54.62","56.72","54.95","56.17","70.69","55.02","62.86","1.73","2.31","-0.58","32.86","21.23","12.24","53.17","23.83","27.51","-95.62","69.47","2.10","3.30","-91.54","","0.00","14.09","12.15","","2022-09-21"
"WANBURY","65.95","48866.00","22388.42","-4.42","-5.31","8.20","10.56","-19.57","68.48","68.11","68.73","67.74","65.83","67.01","65.61","66.22","65.23","66.13","64.95","67.58","75.53","71.44","74.40","57.25","65.83","1.29","1.22","0.07","26.79","19.01","15.24","48.49","9.99","19.85","-21.98","74.30","4.95","3.44","-58.39","","0.00","31.10","5.00","","2022-09-21"
"WATERBASE","84.75","35788.00","78245.00","-0.99","-4.35","6.60","18.78","-26.94","86.06","85.80","86.53","85.87","84.93","85.27","83.76","84.27","83.45","83.64","80.98","84.02","89.68","89.61","91.16","78.70","84.93","1.15","1.36","-0.21","24.59","24.69","18.00","50.07","19.94","17.70","-27.83","94.05","2.95","3.29","-75.00","","4.57","7.72","5.25","","2022-09-21"
"WEALTH","273.85","263.00","725.44","1.14","-1.32","10.25","5.53","25.05","271.70","271.82","268.70","268.17","264.51","264.58","255.11","259.19","249.96","255.73","247.83","252.53","253.29","242.33","280.67","248.36","264.51","6.76","6.62","0.14","15.43","9.60","13.58","58.06","60.05","63.07","58.11","246.19","13.35","19.34","-18.05","","65.41","26.17","25.45","","2022-09-21"
"WEBELSOLAR","105.00","345233.00","334336.56","-0.76","-16.00","5.32","43.74","58.97","109.93","108.51","108.92","107.17","102.11","104.28","96.82","100.23","94.56","97.93","91.96","96.70","104.17","93.99","124.92","79.30","102.11","5.34","5.52","-0.18","36.00","31.03","20.51","53.30","9.11","5.22","-29.05","129.42","7.60","6.98","-62.45","","0.00","0.00","5.30","","2022-09-21"
"WEIZMANIND","86.15","35268.00","91630.26","-6.21","8.16","26.60","64.72","78.00","90.49","88.03","84.00","84.02","79.32","80.47","73.49","74.63","65.45","70.05","58.49","64.44","59.71","59.43","96.02","62.62","79.32","6.81","6.50","0.31","57.79","39.63","7.64","60.74","32.48","41.70","54.02","83.81","6.50","6.92","-59.15","","0.00","17.40","18.10","","2022-09-21"
"WELCORP","283.35","3719719.00","1735448.14","3.87","16.39","29.68","35.87","133.02","266.74","268.82","256.16","256.60","247.02","249.95","235.56","241.15","228.81","234.54","223.54","223.07","196.75","200.39","278.77","215.27","247.02","12.11","9.26","2.86","38.77","32.52","7.65","68.07","91.77","81.00","205.42","244.35","17.25","13.38","-5.47","","100.00","87.37","64.85","","2022-09-21"
"WELENT","134.90","629053.00","609947.30","-2.91","-2.14","17.10","47.35","32.51","133.30","134.18","130.52","130.01","125.05","126.43","119.10","120.62","112.49","115.67","104.07","108.10","95.66","100.47","142.73","107.37","125.05","6.82","6.44","0.39","47.46","25.09","12.32","62.42","67.03","62.20","81.24","123.04","8.75","6.80","-27.73","","36.13","38.35","19.70","","2022-09-21"
"WELINV","289.70","456.00","935.80","-1.91","-4.25","5.81","5.60","-12.79","301.83","296.38","288.83","291.50","283.98","288.33","282.86","285.39","282.88","284.11","281.99","284.09","286.94","292.23","309.82","258.13","283.98","5.40","3.42","1.98","21.48","20.03","24.97","52.22","58.84","57.45","34.48","336.41","15.00","17.86","-55.46","","0.00","22.38","15.90","","2022-09-21"
"WELSPUNIND","79.40","1265046.00","1622077.26","-2.58","-6.42","3.18","11.60","-39.64","81.24","80.73","79.55","80.01","78.63","79.14","77.50","77.79","75.61","77.09","73.23","79.06","97.31","89.47","85.51","71.74","78.63","1.66","1.60","0.05","24.02","23.93","22.81","52.64","14.63","22.58","16.62","76.40","4.00","3.17","-52.08","","0.00","6.73","2.45","","2022-09-21"
"WENDT","7734.75","134.00","969.48","-0.52","-2.16","-0.07","3.33","73.31","7708.11","7738.40","7840.57","7800.09","7833.34","7828.41","7873.68","7850.76","7952.02","7807.06","7713.14","7524.05","6403.81","6641.62","8099.37","7567.31","7833.34","-49.56","-31.15","-18.42","26.95","10.61","22.79","45.45","57.02","40.14","-67.53","8227.96","98.80","224.48","-64.93","","72.22","49.85","-5.75","","2022-09-21"
"WESTLIFE","691.65","201888.00","213433.40","-0.67","0.85","12.38","46.58","27.28","691.89","689.80","680.28","678.18","666.12","665.95","644.20","641.41","608.24","617.14","548.54","578.32","519.86","538.68","713.67","618.58","666.12","24.61","25.74","-1.13","47.99","22.20","8.29","61.54","34.47","35.86","71.65","738.25","20.40","28.81","-48.19","","19.48","16.16","76.20","","2022-09-21"
"WHEELS","647.55","10683.00","18267.44","-1.84","-6.41","-5.59","16.25","-17.62","662.08","662.00","679.07","673.96","681.74","677.23","677.82","677.35","688.58","672.66","650.47","660.67","640.26","647.43","714.07","649.42","681.74","-4.89","-0.10","-4.78","14.06","17.82","25.41","38.28","8.10","5.29","-149.61","719.58","23.70","21.55","-92.66","","0.00","0.47","-38.35","","2022-09-21"
